Entities,Tokens,Raw Text
"['O', 'O', 'B-Organism', 'I-Organism', 'I-Organism', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Indeed', ',', 'Lesser', 'Grey', 'Shrike', 'showed', 'a', 'strong', 'preference', 'for', 'these', 'habitats', 'as', 'hunting', 'locations', '.']","Indeed, Lesser Grey Shrike showed a strong preference for these habitats as hunting locations."
"['O', 'O', 'O', 'B-Crop', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Crop', 'I-Crop', 'I-Crop', 'O', 'O', 'O', 'B-Season', 'O', 'O', 'O', 'B-Season', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Agri_Method', 'I-Agri_Method', 'O', 'O']","['The', 'country', ""'s"", 'rice', 'production', 'was', 'significantly', 'boosted', 'by', 'the', 'cultivation', 'of', 'high-yielding', 'and', 'hybrid', 'Boro', 'rice', 'varieties', 'during', 'the', 'winter', '(', 'rabi', ')', 'season', ',', 'supported', 'by', 'ample', 'irrigation', ',', 'increased', 'fertilizer', 'and', 'pesticide', 'application', ',', 'and', 'enhanced', 'crop', 'management', 'practices', '.']","The country 's rice production was significantly boosted by the cultivation of high-yielding and hybrid Boro rice varieties during the winter ( rabi ) season , supported by ample irrigation , increased fertilizer and pesticide application , and enhanced crop management practices ."
"['O', 'B-Fruit', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O']","['The', 'papayas', 'are', 'one', 'of', 'the', 'best', 'seasonal', 'fruits', 'in', 'India', '.']",The papayas are one of the best seasonal fruits in India.
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Crop', 'I-Crop', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'I-Location', 'O', 'B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Crop', 'O', 'O', 'O']","['Concern', 'has', 'been', 'mounting', 'in', 'recent', 'times', 'over', 'the', 'limited', 'expansion', 'of', 'both', 'edible', 'and', 'non-edible', 'oilseed', 'crops', 'into', 'non-traditional', 'regions', 'like', 'the', 'North-Eastern', 'Hills', '(', 'NEH', ')', ',', 'prompting', 'concerted', 'efforts', 'to', 'hasten', 'the', 'implementation', 'of', 'oilseeds', 'popularization', 'projects', '.']","Concern has been mounting in recent times over the limited expansion of both edible and non-edible oilseed crops into non-traditional regions like the North-Eastern Hills ( NEH ) , prompting concerted efforts to hasten the implementation of oilseeds popularization projects ."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Agri_Process', 'I-Agri_Process', 'O', 'O', 'O', 'B-Field_Area', 'I-Field_Area', 'O', 'O', 'B-Season', 'O', 'O', 'O', 'B-Season', 'O']","['Based', 'on', 'the', 'current', 'climate', 'conditions', 'and', 'the', 'natural', 'resources', 'at', 'hand', ',', 'this', 'crop', 'presents', 'itself', 'as', 'one', 'of', 'the', 'most', 'practical', 'alternative', 'options', 'for', 'inclusion', 'in', 'various', 'cropping', 'systems', ',', 'especially', 'in', 'rice', 'fallows', 'during', 'the', 'winter', '(', 'rabi', ')', 'season', '.']","Based on the current climate conditions and the natural resources at hand , this crop presents itself as one of the most practical alternative options for inclusion in various cropping systems , especially in rice fallows during the winter ( rabi ) season ."
"['O', 'O', 'O', 'O', 'O', 'B-Disease', 'I-Disease', 'O', 'O', 'O', 'O', 'O', 'O']","['There', 'is', 'no', 'treatment', 'for', 'aster', 'yellows', ',', 'an', 'insect-borne', 'bacterial', 'infection', '.']","There is no treatment for aster yellows, an insect-borne bacterial infection."
"['B-Agri_Method', 'I-Agri_Method', 'I-Agri_Method', 'I-Agri_Method', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Conventional', 'tillage-based', 'wheat', 'system', 'with', 'intensive', 'tillage', 'operations', ',', 'unscientific', 'management', 'and', 'open', 'field', 'burning', 'of', 'rice', 'residue', 'led', 'to', 'high', 'production', 'costs', ',', 'decreased', 'crop', 'yields', 'with', 'lowered', 'net', 'returns', '.']","Conventional tillage-based wheat system with intensive tillage operations, unscientific management and open field burning of rice residue led to high production costs, decreased crop yields with lowered net returns."
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'O', 'B-Person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'dynamic', 'exchange', 'of', 'ideas', 'at', 'all', 'kinds', 'of', 'interactive', 'meetings', ',', 'such', 'as', 'workshops', 'or', 'farmers', '’', 'field', 'schools', ',', 'have', 'favored', 'farmer', 'to', 'farmer', 'learning', 'as', 'well', 'as', 'knowledge', 'sharing', 'with', 'research', ',', 'academic', 'and', 'extension', 'officials', '.']","The dynamic exchange of ideas at all kinds of interactive meetings, such as workshops or farmers’ field schools, have favored farmer to farmer learning as well as knowledge sharing with research, academic and extension officials."
"['O', 'O', 'O', 'O', 'B-Crop', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Agri_Waste', 'O', 'B-Agri_Waste', 'O']","['High', 'production', 'capacity', 'of', 'ryegrass', 'makes', 'it', 'a', 'popular', 'choice', 'for', 'extra', 'feed', 'like', 'hay', 'and', 'silage', '.']",High production capacity of ryegrass makes it a popular choice for extra feed like hay and silage.
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Nutrient', 'O', 'O', 'O', 'B-Crop', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Soil', 'I-Soil', 'I-Soil', 'I-Soil', 'O']","['Besides', 'their', 'value', 'as', 'diet', 'and', 'having', 'nitrogen', 'fixation', 'ability', ',', 'pulses', 'also', 'play', 'an', 'important', 'role', 'in', 'flourishing', 'intensive', 'agriculture', 'by', 'improving', 'the', 'physicochemical', 'and', 'biological', 'properties', 'of', 'soil', '.']","Besides their value as diet and having nitrogen fixation ability, pulses also play an important role in flourishing intensive agriculture by improving the physicochemical and biological properties of soil."
